TARGET_FIELD,TARGET_FIELD_RULE,TARGET_FIELD_RULE_PARAM,CONDITION_FIELD,CONDITION_FIELD_VALUE
; ----- VRSTA-conditional dovoljene vrednosti -----
IZVOR,dovoljene vrednosti,1,VRSTA,1|3|4
IZVOR,dovoljene vrednosti,2,VRSTA,2
OS,dovoljene vrednosti,2,VRSTA,4
STALNOST,dovoljene vrednosti,3|4,VRSTA,1|2|3|4
STANJE,dovoljene vrednosti,9999,VRSTA,1|3|4
STANJE,dovoljene vrednosti,2,VRSTA,2
TIP_TV,dovoljene vrednosti,1,VRSTA,1|3|4
TIP_TV,dovoljene vrednosti,2|3|4|5|6,VRSTA,2
TIP_PREH,dovoljene vrednosti,9999,VRSTA,1|3|4
TIP_PREH,dovoljene vrednosti,1|2|3|4|5|6,VRSTA,2
SIRINA,dovoljene vrednosti,9999,VRSTA,4
PREOBLIK,dovoljene vrednosti,1|2,VRSTA,1|3|4
PREOBLIK,dovoljene vrednosti,9999,VRSTA,2
